team,player,x,y,shot_statsbomb_xg,is_goal,on_target
Spain,Marco Asensio Willemsen,94.8,61.9,0.007735879,False,True
Spain,Daniel Olmo Carvajal,111.0,52.0,0.12373556,False,True
Spain,Daniel Olmo Carvajal,94.2,57.0,0.008523117,False,False
England,Harry Kane,108.9,42.6,0.10607713,False,False
England,John Stones,109.2,38.6,0.04222343,False,False
England,Mason Mount,94.2,27.2,0.019677445,False,False
United States,Haji Wright,108.1,43.9,0.048006557,False,False
United States,Weston McKennie,110.5,39.5,0.18268152,False,False
United States,Yunus Dimoara Musah,93.0,25.1,0.016826272,False,True
United States,Christian Pulisic,106.4,24.4,0.023374733,False,False
United States,Sergino Dest,108.6,51.2,0.056137927,False,False
United States,Christian Pulisic,110.0,42.8,0.05394238,False,False
England,Bukayo Saka,113.2,36.1,0.08680134,False,False
England,Mason Mount,100.1,32.9,0.0710417,False,True
United States,Haji Wright,106.5,28.3,0.0422633,False,False
United States,Weston McKennie,99.2,53.9,0.032319076,False,False
United States,Christian Pulisic,98.8,24.7,0.025169194,False,False
United States,Christian Pulisic,95.3,40.1,0.033566043,False,False
England,Marcus Rashford,105.3,20.7,0.009332121,False,True
England,Harry Maguire,109.9,37.5,0.05556727,False,True
England,Harry Kane,111.2,40.8,0.06991791,False,False
United States,Yunus Dimoara Musah,100.5,38.2,0.045798708,False,False
United States,Christian Pulisic,110.1,35.6,0.080380306,False,True
United States,Joshua Sargent,99.0,32.1,0.040954046,False,False
United States,Timothy Weah,109.7,35.9,0.12157792,False,True
United States,Sergino Dest,101.3,48.2,0.05512647,False,False
United States,Timothy Weah,108.7,54.1,0.04585104,False,False
United States,Sergino Dest,102.0,50.5,0.043695714,False,False
United States,Christian Pulisic,115.1,38.7,0.5303789,True,True
United States,Joshua Sargent,114.2,56.9,0.011004616,False,False
United States,Joshua Sargent,110.0,25.2,0.05674209,False,True
Iran,Saman Ghoddos,114.1,38.7,0.39133456,False,False
United States,Yunus Dimoara Musah,97.0,43.3,0.080397844,False,False
Iran,Saeid Ezatolahi Afagh,90.8,21.8,0.006830182,False,False
Iran,Morteza Pouraliganji,111.0,35.6,0.21722858,False,False
Iran,Mehdi Taremi,111.1,39.5,0.30539662,False,True
United States,Haji Wright,105.1,23.9,0.057746947,False,True
Morocco,Noussair Mazraoui,96.9,32.0,0.026111592,False,False
Morocco,Hakim Ziyech,101.9,43.3,0.052363984,False,False
Croatia,Ivan Perišić,82.9,33.6,0.00976612,False,False
Morocco,Sofiane Boufal,96.7,46.7,0.04188839,False,False
Morocco,Hakim Ziyech,94.5,37.4,0.06625415,False,False
Morocco,Youssef En-Nesyri,117.8,31.5,0.03416934,False,False
Croatia,Nikola Vlašić,114.7,35.7,0.44776994,False,True
Croatia,Nikola Vlašić,105.2,33.9,0.06879163,False,False
Croatia,Luka Modrić,98.8,39.3,0.073204115,False,False
Morocco,Sofiane Boufal,94.0,38.6,0.042848527,False,False
