player,team,Goals,xG,Shots_On_Target,Total_Passes,Completed_Passes,Key_Passes,Defensive_Actions,Saves
Anthony Daniel Contreras Enríquez,Costa Rica,0.0,0.0,0.0,25.0,17.0,1.0,8.0,0.0
Antoine Griezmann,France,0.0,0.49632007100000003,2.0,323.0,255.0,20.0,54.0,0.0
Antoine Semenyo,Ghana,0.0,0.12024433,0.0,3.0,1.0,0.0,3.0,0.0
Antonee Robinson,United States,0.0,0.0,0.0,240.0,175.0,3.0,53.0,0.0
Antonio Rüdiger,Germany,0.0,0.6597156827,1.0,247.0,227.0,0.0,30.0,0.0
Antony Matheus dos Santos,Brazil,0.0,0.1545435,3.0,113.0,91.0,3.0,18.0,0.0
António João Pereira Albuquerque Tavares Silva,Portugal,0.0,0.0,0.0,58.0,57.0,0.0,9.0,0.0
Ao Tanaka,Japan,1.0,0.87261814,1.0,68.0,50.0,1.0,14.0,0.0
Ardon Jashari,Switzerland,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0
Arkadiusz Milik,Poland,0.0,0.13519733,0.0,33.0,24.0,0.0,6.0,0.0
Artur Jędrzejczyk,Poland,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0
Assim Omer Al Haj Madibo,Qatar,0.0,0.0,0.0,71.0,62.0,1.0,18.0,0.0
Atiba Hutchinson,Canada,0.0,0.133220574,0.0,112.0,103.0,0.0,20.0,0.0
Aurélien Djani Tchouaméni,France,1.0,1.182897098,2.0,470.0,431.0,6.0,67.0,0.0
Awer Denis Bul Mabil,Australia,0.0,0.0,0.0,14.0,10.0,0.0,2.0,0.0
Axel Disasi,France,0.0,0.061025612,0.0,75.0,58.0,0.0,11.0,0.0
Axel Witsel,Belgium,0.0,0.025340356,0.0,176.0,169.0,1.0,26.0,0.0
Ayase Ueda,Japan,0.0,0.0,0.0,11.0,7.0,1.0,6.0,0.0
Aymen Dahmen,Tunisia,0.0,0.0,0.0,77.0,48.0,0.0,7.0,9.0
Aymeric Laporte,Spain,0.0,0.04145577,0.0,429.0,404.0,1.0,19.0,0.0
Aziz Eraltay Behich,Australia,0.0,0.126898918,0.0,204.0,154.0,0.0,41.0,0.0
Azzedine Ounahi,Morocco,0.0,0.244700479,1.0,267.0,221.0,6.0,55.0,0.0
Aïssa Bilal Laïdouni,Tunisia,0.0,0.08097828400000001,0.0,119.0,97.0,4.0,44.0,0.0
Badr Banoun,Morocco,0.0,0.7835,1.0,21.0,21.0,0.0,9.0,0.0
Bailey Wright,Australia,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0
Bartosz Bereszyński,Poland,0.0,0.0,0.0,150.0,121.0,0.0,45.0,0.0
Bassam Hisham Al Rawi,Qatar,0.0,0.0,0.0,57.0,48.0,1.0,12.0,0.0
Ben Davies,Wales,0.0,0.384204745,2.0,160.0,121.0,0.0,38.0,0.0
Benjamin Pavard,France,0.0,0.0,0.0,88.0,81.0,0.0,8.0,0.0
Bernardo Mota Veiga de Carvalho e Silva,Portugal,0.0,0.10927713,0.0,292.0,259.0,5.0,32.0,0.0
Bilal El Khannous,Morocco,0.0,0.0,0.0,24.0,20.0,0.0,5.0,0.0
Borna Barišić,Croatia,0.0,0.015196718,0.0,67.0,50.0,0.0,16.0,0.0
