player,team,Goals,xG,Total_Passes,Successful_Passes
Borna Barišić,Croatia,0.0,0.015196718,67.0,50.0
Borna Sosa,Croatia,0.0,0.048374664,276.0,222.0
Boualem Khoukhi,Qatar,0.0,0.0,194.0,167.0
Boulaye Dia,Senegal,1.0,0.662240351,53.0,39.0
Brandon Aguilera Zamora,Costa Rica,0.0,0.0,35.0,25.0
Breel-Donald Embolo,Switzerland,2.0,2.391196598,66.0,50.0
Brenden Aaronson,United States,0.0,0.09428854,48.0,41.0
Brennan Johnson,Wales,0.0,0.124267868,18.0,12.0
Bruno Guimarães Rodriguez Moura,Brazil,0.0,0.64781192,55.0,46.0
Bruno Miguel Borges Fernandes,Portugal,2.0,1.0313368613,231.0,186.0
Bruno Petković,Croatia,1.0,0.09977819,80.0,44.0
Bryan Mbeumo,Cameroon,0.0,0.134345962,81.0,52.0
Bryan Oviedo,Costa Rica,0.0,0.0,89.0,68.0
Bryan Ruiz González,Costa Rica,0.0,0.0,13.0,8.0
Bukayo Saka,England,3.0,0.579455465,111.0,84.0
Callum Wilson,England,0.0,0.0,12.0,9.0
Cameron Carter-Vickers,United States,0.0,0.0,55.0,50.0
Carlos Alberto Rodríguez Gómez,Mexico,0.0,0.0,29.0,20.0
Carlos Armando Gruezo Arboleda,Ecuador,0.0,0.0,14.0,13.0
Carlos Henrique Casimiro,Brazil,2.0,1.1432915347,258.0,217.0
Carlos Manuel Martínez Castro,Costa Rica,0.0,0.0,14.0,10.0
Carlos Soler Barragán,Spain,1.0,1.271484056,84.0,78.0
Carlos Uriel Antuna Romero,Mexico,0.0,0.30874212,18.0,9.0
Celso Borges Mora,Costa Rica,0.0,0.0,113.0,94.0
Chang-Hoon Kwon,South Korea,0.0,0.0,23.0,19.0
Charles De Ketelaere,Belgium,0.0,0.0,4.0,3.0
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,1.0,0.3838931,19.0,11.0
Cheikhou Kouyaté,Senegal,0.0,0.0,26.0,21.0
Chris Mepham,Wales,0.0,0.0,170.0,143.0
Christian Dannemann Eriksen,Denmark,0.0,0.154105106,231.0,193.0
Christian Fassnacht,Switzerland,0.0,0.31681746,10.0,8.0
Christian Mougang Bassogog,Cameroon,0.0,0.0,9.0,5.0
Christian Nørgaard,Denmark,0.0,0.0,15.0,14.0
Christian Pulisic,United States,1.0,1.138087093,139.0,84.0
Christopher Wooh,Cameroon,0.0,0.05692788,33.0,27.0
Chul Hong,South Korea,0.0,0.0,20.0,17.0
Cody Mathès Gakpo,Netherlands,3.0,0.5623670310000001,154.0,98.0
Connor Roberts,Wales,0.0,0.0,119.0,92.0
Craig Goodwin,Australia,1.0,0.205087522,94.0,57.0
Cristian Gabriel Romero,Argentina,0.0,0.0,372.0,330.0
Cristiano Ronaldo dos Santos Aveiro,Portugal,1.0,1.939259267,90.0,67.0
Cyle Larin,Canada,0.0,0.249796684,31.0,21.0
César Azpilicueta Tanco,Spain,0.0,0.0,179.0,169.0
César Jasib Montes Castro,Mexico,0.0,0.0988946,192.0,163.0
Daichi Kamada,Japan,0.0,0.42129175,104.0,83.0
Daizen Maeda,Japan,1.0,0.53585137,18.0,8.0
Daley Blind,Netherlands,1.0,0.521673045,304.0,260.0
Damian Szymański,Poland,0.0,0.0,9.0,9.0
Damián Emiliano Martínez,Argentina,0.0,0.0,186.0,123.0
Daniel Alonso Chacón Salas,Costa Rica,0.0,0.0,1.0,1.0
Daniel Alves da Silva,Brazil,0.0,0.120014081,99.0,88.0
Daniel Amartey,Ghana,0.0,0.0,140.0,129.0
Daniel Carvajal Ramos,Spain,0.0,0.0,135.0,122.0
Daniel James,Wales,0.0,0.0,34.0,23.0
Daniel Olmo Carvajal,Spain,1.0,1.0841161047,196.0,160.0
