player,team,Goals,xG,Total_Passes,Successful_Passes
Marcus Thuram,France,0.0,0.115658596,45.0,32.0
Mario Götze,Germany,0.0,0.066507556,16.0,15.0
Mario Pašalić,Croatia,1.0,0.9502076909999999,93.0,77.0
Mark Anthony Kaye,Canada,0.0,0.038882375,57.0,50.0
Marko Grujić,Serbia,0.0,0.027356416,17.0,14.0
Marko Livaja,Croatia,1.0,1.773984791,57.0,35.0
Marten de Roon,Netherlands,0.0,0.0,122.0,99.0
Martin Braithwaite Christensen,Denmark,0.0,0.23786028,19.0,13.0
Martin Hongla Yma II,Cameroon,0.0,0.08237888,64.0,52.0
Mason Mount,England,0.0,0.18183271299999998,74.0,64.0
Mateo Kovačić,Croatia,0.0,0.34514701999999997,456.0,416.0
Matheus Luiz Nunes,Portugal,0.0,0.007849269,33.0,25.0
Mathew Leckie,Australia,1.0,0.11353828,103.0,69.0
Mathew Ryan,Australia,0.0,0.0,163.0,112.0
Mathias Jensen,Denmark,0.0,0.048329171000000004,68.0,53.0
Mathías Olivera Miramontes,Uruguay,0.0,0.08097578899999999,133.0,108.0
Matthew Charles Turner,United States,0.0,0.0,126.0,98.0
Matthias Ginter,Germany,0.0,0.0,3.0,3.0
Matthijs de Ligt,Netherlands,0.0,0.0,45.0,40.0
Matty Cash,Poland,0.0,0.023505978,156.0,121.0
Mattéo Guendouzi Olié,France,0.0,0.0,32.0,28.0
Matías Nicolás Viña Susperreguy,Uruguay,0.0,0.0,20.0,12.0
Matías Vecino Falero,Uruguay,0.0,0.052239094,103.0,82.0
Maximiliano Gómez González,Uruguay,0.0,0.077775581,7.0,4.0
Maya Yoshida,Japan,0.0,0.7835,227.0,201.0
Mehdi Taremi,Iran,2.0,1.37814372,82.0,61.0
Mehdi Torabi,Iran,0.0,0.09684943,37.0,31.0
Memphis Depay,Netherlands,1.0,1.181855992,127.0,96.0
Meshaal Aissa Barsham,Qatar,0.0,0.0,63.0,44.0
Michael Steveen Estrada Martínez,Ecuador,0.0,0.246376532,43.0,30.0
Michał Skóraś,Poland,0.0,0.026707038,9.0,8.0
Michel Aebischer,Switzerland,0.0,0.0,4.0,2.0
Michy Batshuayi Tunga,Belgium,1.0,0.620673121,23.0,15.0
Miki Yamane,Japan,0.0,0.0,33.0,25.0
Mikkel Damsgaard,Denmark,0.0,0.0,71.0,57.0
Milad Mohammadi,Iran,0.0,0.0,66.0,45.0
Milan Borjan,Canada,0.0,0.0,96.0,75.0
Milos Veljkovic,Serbia,0.0,0.0,112.0,99.0
Miloš Degenek,Australia,0.0,0.0,97.0,69.0
Min Jae Kim,South Korea,0.0,0.105906885,187.0,165.0
Mislav Oršić,Croatia,2.0,1.0595709986,55.0,42.0
Mitchell Thomas Duke,Australia,1.0,0.254732119,68.0,36.0
Mohamed Ali Ben Romdhane,Tunisia,0.0,0.0,19.0,14.0
Mohamed Dräger,Tunisia,0.0,0.303584759,51.0,35.0
Mohamed Salisu,Ghana,1.0,0.42841392,149.0,106.0
Mohammad Hossein Kanani Zadegan,Iran,0.0,0.0,11.0,8.0
Mohammed Al Burayk,Saudi Arabia,0.0,0.36966906099999997,48.0,39.0
Mohammed Kanoo,Saudi Arabia,0.0,0.319447288,145.0,118.0
Mohammed Khalil Al Owais,Saudi Arabia,0.0,0.0,98.0,53.0
Mohammed Kudus,Ghana,2.0,0.658570808,82.0,61.0
Mohammed Muntari,Qatar,1.0,0.184977709,19.0,17.0
Mohammed Waed Abdulwahhab Al Bayati,Qatar,0.0,0.0,12.0,9.0
Moisés Isaac Caicedo Corozo,Ecuador,1.0,0.653325549,154.0,128.0
Montassar Omar Talbi,Tunisia,0.0,0.012159805,133.0,115.0
Moon-Hwan Kim,South Korea,0.0,0.0,242.0,205.0
Morteza Pouraliganji,Iran,0.0,0.26883789,128.0,93.0
Mosaab Khoder Jibril,Qatar,0.0,0.0,3.0,3.0
Munir Mohand Mohamedi,Morocco,0.0,0.0,27.0,18.0
Nader Ghandri,Tunisia,0.0,0.0,30.0,27.0
Nahuel Molina Lucero,Argentina,1.0,0.485319467,360.0,296.0
Nampalys Mendy,Senegal,0.0,0.09337050799999999,162.0,145.0
Nasser Al Dawsari,Saudi Arabia,0.0,0.0,10.0,10.0
Nathan Aké,Netherlands,0.0,0.0,352.0,319.0
Nathaniel Atkinson,Australia,0.0,0.0,37.0,30.0
Nawaf Shaker Al Abid,Saudi Arabia,0.0,0.106110047,38.0,34.0
Nayef Aguerd,Morocco,0.0,0.25141555,154.0,133.0
Naïm Sliti,Tunisia,0.0,0.1403044,50.0,29.0
Neco Williams,Wales,0.0,0.07557114100000001,97.0,71.0
Nemanja Gudelj,Serbia,0.0,0.0,55.0,46.0
Nemanja Maksimović,Serbia,0.0,0.0,57.0,51.0
Nemanja Radonjić,Serbia,0.0,0.051502228,23.0,16.0
Neymar da Silva Santos Junior,Brazil,2.0,2.129257917,156.0,123.0
Ngoran Suiru Fai Collins,Cameroon,0.0,0.009452554,152.0,103.0
Nicholas Williams Arthuer,Spain,0.0,0.0,62.0,52.0
Niclas Füllkrug,Germany,2.0,1.688675085,25.0,16.0
Nico Elvedi,Switzerland,0.0,0.19001445,141.0,132.0
Nico Schlotterbeck,Germany,0.0,0.0,123.0,112.0
Nicola Zalewski,Poland,0.0,0.0,18.0,16.0
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,0.0,0.382484566,93.0,79.0
Nicolas Jackson,Senegal,0.0,0.0,10.0,9.0
Nicolas Moumi Ngamaleu,Cameroon,0.0,0.0,24.0,21.0
Nicolás Alejandro Tagliafico,Argentina,0.0,0.9122210500000001,182.0,153.0
Nicolás Hernán Otamendi,Argentina,0.0,0.048093256,565.0,528.0
Niklas Süle,Germany,0.0,0.07610536,252.0,233.0
Nikola Milenković,Serbia,0.0,0.123164077,157.0,136.0
Nikola Vlašić,Croatia,2.0,2.1955534329999997,55.0,43.0
Noa Lang,Netherlands,0.0,0.0,3.0,0.0
Noah Okafor,Switzerland,0.0,0.032096077,21.0,17.0
Nouhou Tolo,Cameroon,0.0,0.0,106.0,81.0
Noussair Mazraoui,Morocco,0.0,0.151342469,121.0,103.0
Nuno Mendes,Portugal,0.0,0.0,34.0,30.0
Néstor Alejandro Araújo Razo,Mexico,0.0,0.0,56.0,47.0
Olivier Giroud,France,4.0,3.0359552720000003,75.0,49.0
Orbelín Pineda Alvarado,Mexico,0.0,0.505017774,26.0,20.0
Osman Bukari,Ghana,1.0,0.2462625047,21.0,17.0
Otávio Edmilson da Silva Monteiro,Portugal,0.0,0.1035403,131.0,101.0
Ousmane Dembélé,France,0.0,0.362467341,191.0,149.0
Pablo Martín Páez Gavira,Spain,1.0,0.056229107,153.0,135.0
Pablo Sarabia García,Spain,0.0,0.88757615,5.0,2.0
Pape Abou Cissé,Senegal,0.0,0.0,38.0,30.0
Pape Gueye,Senegal,0.0,0.094318055,61.0,46.0
Pape Matar Sarr,Senegal,0.0,0.08593205500000001,47.0,40.0
Pathé Ismaël Ciss,Senegal,0.0,0.03057826,60.0,51.0
Pau Francisco Torres,Spain,0.0,0.0,190.0,171.0
Paulo Bruno Exequiel Dybala,Argentina,1.0,0.7835,13.0,9.0
Pedro González López,Spain,0.0,0.0,426.0,395.0
Pedro Guilherme Abreu dos Santos,Brazil,1.0,1.215663274,15.0,12.0
Pedro Miguel Correia,Qatar,0.0,0.037067295,115.0,83.0
Pervis Josué Estupiñán Tenorio,Ecuador,0.0,0.27007267,187.0,146.0
Phil Foden,England,1.0,1.22865907,57.0,44.0
Philip Foden,England,0.0,0.022691524,61.0,49.0
Piero Martín Hincapié Reyna,Ecuador,0.0,0.0,199.0,171.0
Pierre Kunde Malong,Cameroon,0.0,0.187109743,51.0,39.0
Pierre-Emile Højbjerg,Denmark,0.0,0.023862642,224.0,200.0
Piotr Zieliński,Poland,1.0,0.5838947800000001,153.0,124.0
Przemysław Frankowski,Poland,0.0,0.043646414,73.0,51.0
Rafael Alexandre Conceição Leão,Portugal,2.0,0.248383942,45.0,32.0
Raheem Sterling,England,1.0,0.1885282,58.0,47.0
Ramin Rezaeian,Iran,1.0,0.230377999,105.0,71.0
Randal Kolo Muani,France,2.0,2.050369225,36.0,25.0
Raphael Dias Belloli,Brazil,0.0,0.922930661,150.0,115.0
Raphaël Adelino José Guerreiro,Portugal,1.0,0.399528818,191.0,163.0
Raphaël Varane,France,0.0,0.26440085,280.0,251.0
Rasmus Nissen Kristensen,Denmark,0.0,0.0,178.0,139.0
Raúl Alonso Jiménez Rodríguez,Mexico,0.0,0.0,32.0,19.0
Remo Freuler,Switzerland,1.0,0.54479492,149.0,126.0
Renato Steffen,Switzerland,0.0,0.0,13.0,12.0
Ricardo Iván Rodríguez Araya,Switzerland,0.0,0.0,227.0,172.0
Ricardo Jorge Luz Horta,Portugal,1.0,0.458795408,47.0,31.0
Richarlison de Andrade,Brazil,3.0,1.617659122,54.0,39.0
Richie Laryea,Canada,0.0,0.056640564,45.0,35.0
Riley McGree,Australia,0.0,0.08010532199999999,73.0,57.0
Ritsu Doan,Japan,2.0,0.577215802,57.0,37.0
Riyadh Sharahili,Saudi Arabia,0.0,0.0,19.0,17.0
Roan Roberto Wilson Gordon,Costa Rica,0.0,0.0,6.0,6.0
Robert Lewandowski,Poland,2.0,3.125917802,91.0,65.0
Robert Skov,Denmark,0.0,0.0,21.0,16.0
Roberto Carlos Alvarado Hernández,Mexico,0.0,0.0,11.0,5.0
Rodrigo Bentancur Colmán,Uruguay,0.0,0.620971297,158.0,134.0
Rodrigo Hernández Cascante,Spain,0.0,0.0056476467,679.0,644.0
Rodrigo Javier De Paul,Argentina,0.0,0.570042511,563.0,475.0
Rodrygo Silva de Goes,Brazil,0.0,1.245341896,112.0,89.0
Rogelio Gabriel Funes Mori,Mexico,0.0,0.06664524,0.0,0.0
Romain Saïss,Morocco,1.0,0.56495196,193.0,158.0
Romario Andrés Ibarra Mina,Ecuador,0.0,0.136638454,16.0,11.0
Romelu Lukaku Menama,Belgium,0.0,1.68415473,9.0,7.0
Ronald Alberto Matarrita Ulate,Costa Rica,0.0,0.0,29.0,20.0
Roozbeh Cheshmi,Iran,1.0,0.03268815,14.0,7.0
Ruben Vargas,Switzerland,0.0,0.29582627899999997,114.0,81.0
Rubin Colwill,Wales,0.0,0.025066664,4.0,2.0
Rúben Diogo Da Silva Neves,Portugal,0.0,0.087037176,259.0,238.0
Rúben Santos Gato Alves Dias,Portugal,0.0,0.03750256,266.0,246.0
Saad Abdullah Al Sheeb,Qatar,0.0,0.0,21.0,17.0
Sadegh Moharrami,Iran,0.0,0.0,26.0,19.0
Saeid Ezatolahi Afagh,Iran,0.0,0.0612828607,93.0,71.0
Saleh Khalid Al Shehri,Saudi Arabia,1.0,0.147030338,46.0,32.0
Salem Mohammed Al Dawsari,Saudi Arabia,2.0,1.564055345,117.0,92.0
Salis Abdul Samed,Ghana,0.0,0.026676558,142.0,130.0
Salman Mohammed Al Faraj,Saudi Arabia,0.0,0.0,15.0,10.0
Sam Adekugbe,Canada,0.0,0.0,72.0,62.0
Saman Ghoddos,Iran,0.0,0.39133456,21.0,15.0
Sami Khalil Al Naji,Saudi Arabia,0.0,0.0,21.0,15.0
Samuel Yves Oum Gwet,Cameroon,0.0,0.0,57.0,52.0
Sang-Ho Na,South Korea,0.0,0.05996953,38.0,25.0
Sardar Azmoun,Iran,0.0,0.960581323,32.0,18.0
Saud Abdullah Abdul Hamid,Saudi Arabia,0.0,0.005913877,119.0,91.0
Saša Lukić,Serbia,0.0,0.039666813,162.0,143.0
Sebastian Szymański,Poland,0.0,0.0,40.0,27.0
Sebastián Coates Nión,Uruguay,0.0,0.103292696,97.0,78.0
Selim Amallah,Morocco,0.0,0.11463773599999999,88.0,70.0
Serge Gnabry,Germany,1.0,0.728018954,113.0,85.0
Sergej Milinković-Savić,Serbia,1.0,0.200274783,120.0,90.0
Sergino Dest,United States,0.0,0.2518676686,201.0,174.0
Sergio Busquets i Burgos,Spain,0.0,0.88711582,290.0,265.0
Sergio Rochet Álvarez,Uruguay,0.0,0.0,76.0,53.0
Seung-Gyu Kim,South Korea,0.0,0.0,128.0,94.0
Seung-Ho Paik,South Korea,1.0,0.023081098,24.0,19.0
Seyed Hossein Hosseini,Iran,0.0,0.0,48.0,22.0
Seyed Majid Hosseini,Iran,0.0,0.0,108.0,87.0
Shaquell Moore,United States,0.0,0.0,21.0,14.0
Shogo Taniguchi,Japan,0.0,0.17448755,86.0,76.0
Shūichi Gonda,Japan,0.0,0.0,113.0,69.0
Silvan Widmer,Switzerland,0.0,0.05117428,164.0,127.0
Simon Thorup Kjær,Denmark,0.0,0.0,55.0,50.0
Sofiane Boufal,Morocco,0.0,0.31647403,134.0,107.0
Sofyan Amrabat,Morocco,0.0,0.020691318,323.0,274.0
Sorba Thomas,Wales,0.0,0.0,4.0,3.0
Srđan Babić,Serbia,0.0,0.0,15.0,11.0
Stefan Mitrović,Serbia,0.0,0.0,19.0,17.0
Stephen Antunes Eustáquio,Canada,0.0,0.164512644,93.0,85.0
Steve Mandanda,France,0.0,0.0,31.0,18.0
Steven Berghuis,Netherlands,0.0,0.975530951,128.0,98.0
Steven Bergwijn,Netherlands,0.0,0.33993796000000004,71.0,65.0
Steven de Sousa Vitoria,Canada,0.0,0.0,183.0,160.0
Strahinja Pavlović,Serbia,1.0,0.177865885,152.0,121.0
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,0.0,0.244814519,55.0,36.0
Taha Yassine Khenissi,Tunisia,0.0,0.012915949,3.0,2.0
Tajon Buchanan,Canada,0.0,0.714270153,88.0,61.0
Takefusa Kubo,Japan,0.0,0.0,13.0,7.0
Takehiro Tomiyasu,Japan,0.0,0.0,98.0,73.0
Takuma Asano,Japan,2.0,1.279548737,29.0,22.0
Takumi Minamino,Japan,0.0,0.8339613109999999,24.0,14.0
Tarek Salman Salman,Qatar,0.0,0.0,11.0,7.0
Tariq Lamptey,Ghana,0.0,0.07450179,33.0,21.0
Teun Koopmeiners,Netherlands,1.0,0.87343067,120.0,95.0
Theo Bernard François Hernández,France,1.0,0.259309684,332.0,290.0
Thiago Emiliano da Silva,Brazil,0.0,0.20821556000000002,335.0,320.0
Thiago Ezequiel Almada,Argentina,0.0,0.0,13.0,12.0
Thibaut Courtois,Belgium,0.0,0.0,122.0,109.0
Thilo Kehrer,Germany,0.0,0.0,28.0,21.0
Thomas Delaney,Denmark,0.0,0.0,31.0,26.0
Thomas Meunier,Belgium,0.0,0.119195924,142.0,109.0
Thomas Müller,Germany,0.0,0.270048914,72.0,54.0
Thomas Teye Partey,Ghana,0.0,0.23574545500000002,181.0,153.0
Thorgan Hazard,Belgium,0.0,0.0,59.0,41.0
Tim Ream,United States,0.0,0.2582279,270.0,241.0
Timothy Castagne,Belgium,0.0,0.0,201.0,176.0
Timothy Weah,United States,1.0,0.440147946,109.0,91.0
Toby Alderweireld,Belgium,0.0,0.0,267.0,244.0
Trent Alexander-Arnold,England,0.0,0.0,23.0,21.0
Tyler Adams,United States,0.0,0.019808901,269.0,246.0
Ui-Jo Hwang,South Korea,0.0,0.323128,11.0,8.0
Unai Simón Mendibil,Spain,0.0,0.0,158.0,148.0
Vanja Milinković Savić,Serbia,0.0,0.0,127.0,92.0
Victor Nelsson,Denmark,0.0,0.0,72.0,68.0
Vincent Janssen,Netherlands,0.0,0.15551722,20.0,16.0
Vincent Paté Aboubakar,Cameroon,2.0,0.5289856239999999,31.0,20.0
Vinícius José Paixão de Oliveira Júnior,Brazil,1.0,0.8115265530000001,91.0,70.0
Virgil van Dijk,Netherlands,0.0,0.977948796,343.0,305.0
Vitor Machado Ferreira,Portugal,0.0,0.053871288999999996,109.0,102.0
Wahbi Khazri,Tunisia,1.0,0.297766004,20.0,12.0
Wajdi Kechrida,Tunisia,0.0,0.0,66.0,43.0
Walid Cheddira,Morocco,0.0,0.249388745,8.0,5.0
Walker Zimmerman,United States,0.0,0.05674074,233.0,212.0
Wataru Endo,Japan,0.0,0.181400907,187.0,153.0
Wayne Hennessey,Wales,0.0,0.0,66.0,52.0
Weston McKennie,United States,0.0,0.37566194999999997,146.0,117.0
Weverton Pereira da Silva,Brazil,0.0,0.0,5.0,4.0
William Saliba,France,0.0,0.0,37.0,37.0
William Silva de Carvalho,Portugal,0.0,0.048683427,165.0,153.0
Wojciech Szczęsny,Poland,0.0,0.0,146.0,88.0
Woo-Yeong Jeong,South Korea,0.0,0.03008143,16.0,13.0
Woo-Young Jung,South Korea,0.0,0.010946972,208.0,179.0
Wout Weghorst,Netherlands,3.0,1.050509997,16.0,9.0
Xavi Simons,Netherlands,0.0,0.0,10.0,6.0
Xherdan Shaqiri,Switzerland,1.0,0.494927794,104.0,68.0
Yahia Attiyat allah,Morocco,0.0,0.331586645,138.0,97.0
Yahya Jabrane,Morocco,0.0,0.0,4.0,2.0
Yann Sommer,Switzerland,0.0,0.0,117.0,107.0
Yannick Ferreira Carrasco,Belgium,0.0,0.202310031,46.0,39.0
Yasir Gharsan Al Shahrani,Saudi Arabia,0.0,0.0,26.0,12.0
Yassine Bounou,Morocco,0.0,0.0,210.0,156.0
Yassine Meriah,Tunisia,0.0,0.046073906,168.0,138.0
Yeltsin Ignacio Tejeda Valverde,Costa Rica,1.0,0.522077037,98.0,79.0
Young-Gwon Kim,South Korea,1.0,0.689242366,210.0,180.0
Youri Tielemans,Belgium,0.0,0.0,61.0,51.0
Youssef En-Nesyri,Morocco,2.0,1.045874203,76.0,48.0
Youssef Msakni,Tunisia,0.0,0.642520471,70.0,50.0
Youssouf Fofana,France,0.0,0.16560118299999999,112.0,95.0
Youssouf Sabaly,Senegal,0.0,0.0178921875,222.0,192.0
Youssoufa Moukoko,Germany,0.0,0.0,2.0,2.0
Youstin Delfin Salas Gómez,Costa Rica,0.0,0.0,18.0,15.0
Yuki Soma,Japan,0.0,0.13489698,20.0,13.0
Yunus Dimoara Musah,United States,0.0,0.197483729,182.0,154.0
Yuto Nagatomo,Japan,0.0,0.0,108.0,81.0
Zakaria Aboukhlal,Morocco,1.0,0.5970794660000001,13.0,8.0
Álvaro Borja Morata Martín,Spain,3.0,1.109480678,40.0,27.0
Álvaro José Zamora Mata,Costa Rica,0.0,0.0,5.0,5.0
Ángel Fabián Di María Hernández,Argentina,1.0,0.53383544,164.0,126.0
Ángel Martín Correa,Argentina,0.0,0.0,4.0,4.0
Éder Gabriel Militão,Brazil,0.0,0.258765465,277.0,251.0
Érick Gabriel Gutiérrez Galaviz,Mexico,0.0,0.0,30.0,25.0
Éverton Augusto de Barros Ribeiro,Brazil,0.0,0.0,17.0,15.0
Óscar Esau Duarte Gaitán,Costa Rica,0.0,0.0,97.0,68.0
İlkay Gündoğan,Germany,1.0,1.128953889,163.0,148.0
